Site_ID,Date,Temperature_C,pH,Dissolved_Oxygen,Site_ID_FP,Date_FP,Species,Fish_Count,Avg_Size_cm,Fish_Health_Index,Water_Quality_Index,Oxygen_Status,pH_Status,Temperature_Status,Site_Health_Category,Month,Season
AV-1,2023-11-06,13.5,7.88,7.9,AV-1,2023-11-06,Brown Trout,12,18.3,0.4038,0.702,Good,Alkaline,Optimal,Good,11,Spring
AV-2,2023-11-02,16.8,7.33,8.2,AV-2,2023-11-02,Shortfin Eel,7,42.1,0.5855,0.7876,Good,Neutral,Optimal,Good,11,Spring
AV-3,2023-10-21,15.1,7.6,7.5,AV-3,2023-10-21,Inanga,25,7.4,0.4991,0.6947,Good,Alkaline,Optimal,Good,10,Spring
AV-1,2023-11-01,14.0,7.05,9.0,AV-1,2023-11-01,Longfin Eel,6,38.9,0.5332,0.9461,Good,Neutral,Optimal,Good,11,Spring
AV-2,2023-10-14,15.3,7.64,6.9,AV-2,2023-10-14,Brown Trout,9,17.0,0.3393,0.5984,Moderate,Alkaline,Optimal,Moderate,10,Spring
AV-3,2023-11-10,17.9,7.22,8.4,AV-3,2023-11-10,Inanga,22,8.1,0.4569,0.8046,Good,Neutral,Optimal,Good,11,Spring
AV-1,2023-10-15,13.9,7.11,7.8,AV-1,2023-10-15,Shortfin Eel,5,40.3,0.5321,0.7612,Good,Neutral,Optimal,Good,10,Spring
AV-3,2023-11-12,18.6,7.33,6.5,AV-3,2023-11-12,Inanga,30,6.9,0.5768,0.4997,Moderate,Neutral,Warm,Moderate,11,Spring
AV-2,2023-11-08,15.7,7.65,9.1,AV-2,2023-11-08,Brown Trout,10,19.5,0.3838,0.9155,Good,Alkaline,Optimal,Good,11,Spring
AV-1,2023-11-13,16.2,7.5,8.6,AV-1,2023-11-13,Inanga,18,8.2,0.3913,0.8443,Good,Neutral,Optimal,Good,11,Spring
AV-3,2023-10-25,14.5,7.49,8.0,AV-3,2023-10-25,Longfin Eel,4,44.0,0.5566,0.7702,Good,Neutral,Optimal,Good,10,Spring
AV-2,2023-10-18,16.3,7.71,7.6,AV-2,2023-10-18,Shortfin Eel,8,39.7,0.5754,0.6761,Good,Alkaline,Optimal,Good,10,Spring
AV-1,2023-10-11,13.7,7.1,7.7,AV-1,2023-10-11,Inanga,20,7.5,0.4169,0.7432,Good,Neutral,Optimal,Good,10,Spring
AV-2,2023-10-20,15.4,7.66,8.9,AV-2,2023-10-20,Brown Trout,11,18.1,0.3849,0.891,Good,Alkaline,Optimal,Good,10,Spring
AV-3,2023-11-14,19.2,7.36,7.4,AV-3,2023-11-14,Inanga,28,7.3,0.548,0.6185,Good,Neutral,Warm,Moderate,11,Spring
AV-2,2023-10-17,15.9,7.38,6.8,AV-2,2023-10-17,Longfin Eel,3,41.9,0.5166,0.5939,Moderate,Neutral,Optimal,Moderate,10,Spring
AV-1,2023-10-22,13.4,7.08,7.2,AV-1,2023-10-22,Shortfin Eel,4,40.0,0.5121,0.6648,Good,Neutral,Optimal,Good,10,Spring
AV-3,2023-10-27,17.1,7.45,8.3,AV-3,2023-10-27,Inanga,26,7.6,0.518,0.7861,Good,Neutral,Optimal,Good,10,Spring
AV-2,2023-11-03,16.6,7.74,7.9,AV-2,2023-11-03,Inanga,19,8.0,0.4058,0.712,Good,Alkaline,Optimal,Good,11,Spring
AV-2,2023-10-30,15.1,7.69,8.6,AV-2,2023-10-30,Brown Trout,9,18.4,0.3549,0.85,Good,Alkaline,Optimal,Good,10,Spring
AV-1,2023-10-29,14.1,7.32,8.8,AV-1,2023-10-29,Brown Trout,13,17.8,0.4149,0.8953,Good,Neutral,Optimal,Good,10,Spring
AV-3,2023-11-09,18.3,7.41,7.7,AV-3,2023-11-09,Longfin Eel,5,43.2,0.5644,0.6766,Good,Neutral,Warm,Good,11,Spring
AV-2,2023-10-23,15.0,7.68,8.5,AV-2,2023-10-23,Inanga,21,7.7,0.4357,0.838,Good,Alkaline,Optimal,Good,10,Spring
AV-1,2023-10-12,13.6,7.26,7.6,AV-1,2023-10-12,Shortfin Eel,7,39.5,0.5565,0.7127,Good,Neutral,Optimal,Good,10,Spring
AV-3,2023-10-30,16.7,7.59,9.0,AV-3,2023-10-30,Brown Trout,10,17.3,0.3593,0.8858,Good,Alkaline,Optimal,Good,10,Spring
AV-2,2023-11-05,15.2,7.53,8.3,AV-2,2023-11-05,Inanga,24,8.5,0.4947,0.8172,Good,Alkaline,Optimal,Good,11,Spring
AV-1,2023-10-27,14.3,7.15,6.9,AV-1,2023-10-27,Longfin Eel,6,40.7,0.5532,0.6324,Moderate,Neutral,Optimal,Moderate,10,Spring
AV-2,2023-10-31,14.6,7.41,8.2,AV-2,2023-10-31,Inanga,15,7.9,0.338,0.8087,Good,Neutral,Optimal,Good,10,Spring
AV-3,2023-10-11,13.2,7.38,7.5,AV-3,2023-10-11,Brown Trout,9,18.2,0.3527,0.6796,Good,Neutral,Optimal,Good,10,Spring
AV-2,2023-10-26,15.8,7.62,8.6,AV-2,2023-10-26,Shortfin Eel,6,41.0,0.5566,0.842,Good,Alkaline,Optimal,Good,10,Spring
AV-1,2023-11-04,16.0,7.29,7.8,AV-1,2023-11-04,Inanga,23,7.2,0.4635,0.7477,Good,Neutral,Optimal,Good,11,Spring
AV-3,2023-11-15,19.7,7.42,7.9,AV-3,2023-11-15,Brown Trout,12,18.7,0.4082,0.6774,Good,Neutral,Warm,Good,11,Spring
AV-2,2023-10-09,14.9,7.55,8.7,AV-2,2023-10-09,Longfin Eel,5,43.6,0.5689,0.8768,Good,Alkaline,Optimal,Good,10,Spring
AV-3,2023-11-08,18.0,7.31,6.7,AV-3,2023-11-08,Shortfin Eel,8,40.1,0.5799,0.5431,Moderate,Neutral,Optimal,Moderate,11,Spring
AV-1,2023-11-10,14.8,7.36,7.6,AV-1,2023-11-10,Inanga,27,7.8,0.5369,0.7281,Good,Neutral,Optimal,Good,11,Spring
