Water_Quality_Index,Water_Quality_Category
0.702,Medium
0.7876,Medium
0.6947,Medium
0.9461,High
0.5984,Low
0.8046,High
0.7612,Medium
0.4997,Low
0.9155,High
0.8443,High
0.7702,Medium
0.6761,Low
0.7432,Medium
0.891,High
0.6185,Low
0.5939,Low
0.6648,Low
0.7861,Medium
0.712,Medium
0.85,High
0.8953,High
0.6766,Medium
0.838,High
0.7127,Medium
0.8858,High
0.8172,High
0.6324,Low
0.8087,High
0.6796,Medium
0.842,High
0.7477,Medium
0.6774,Medium
0.8768,High
0.5431,Low
0.7281,Medium
0.8175,High
0.8963,High
0.6391,Low
0.782,Medium
0.769,Medium
0.7194,Medium
0.6113,Low
0.805,High
0.7121,Medium
0.7124,Medium
0.9263,High
0.6167,Low
0.8241,High
0.7369,Medium
0.7248,Medium
0.795,High
0.7379,Medium
0.664,Low
0.5343,Low
0.8778,High
0.591,Low
0.5887,Low
0.6628,Low
0.9001,High
0.6248,Low
0.516,Low
0.8275,High
0.678,Medium
0.6062,Low
0.4942,Low
0.6001,Low
0.5674,Low
0.6511,Low
0.6247,Low
0.7985,High
