arrival_year_month,bookings,cancellation_rate,avg_adr,estimated_revenue
2015-07,1672,30.62,112.53,926487.08
2015-08,2447,23.33,123.3,1405796.27
2015-09,2834,19.94,100.05,1070569.95
2015-10,2694,16.33,79.1,694217.61
2015-11,1662,14.62,59.34,329419.89
2015-12,1975,18.84,71.79,459008.26
2016-01,1849,16.28,62.7,340233.69
2016-02,2799,18.79,70.09,600469.21
2016-03,3825,23.14,78.2,967540.25
2016-04,3767,26.89,91.01,1124261.98
2016-05,3777,24.91,100.14,1248348.85
2016-06,3515,25.92,108.93,1409564.05
2016-07,3842,28.32,131.68,2093982.77
2016-08,4415,32.66,149.05,2701783.79
2016-09,3848,27.96,121.17,1617920.9
2016-10,4227,28.44,97.47,1338431.64
2016-11,3311,24.43,79.81,888098.49
2016-12,3137,32.04,88.01,948344.24
2017-01,2836,25.95,75.03,738976.17
2017-02,3284,26.98,78.93,872256.22
2017-03,3662,25.75,84.25,1075432.64
2017-04,4133,33.7,115.27,1662076.31
2017-05,4567,32.87,120.54,1873898.93
2017-06,4241,34.0,128.93,2086028.6
2017-07,4529,35.24,147.69,2841704.81
2017-08,4380,36.74,168.59,3131402.33
