month,bookings,cancellation_rate,avg_adr,avg_stay
January,4685,0.22134471718249732,70.16444823906083,3.167556029882604
February,6083,0.23212230807167517,74.86107841525563,3.2033536084168994
March,7487,0.24415653799919862,81.1593361827167,3.3896086550020033
April,7900,0.30455696202531646,103.70023924050633,3.4427848101265823
May,8344,0.2926653883029722,111.30613135186961,3.4771093000958775
June,7756,0.30337802991232593,119.86447653429603,3.855208870551831
July,10043,0.31823160410235984,135.71361545354975,4.210694015732351
August,11242,0.32218466465041806,151.05529532111723,4.161359188756449
September,6682,0.24558515414546542,112.21167165519306,3.7683328344806943
October,6921,0.23724895246351682,90.32185522323364,3.311804652506863
November,4973,0.21154232857430122,72.96850593203298,3.3327971043635634
December,5112,0.26936619718309857,81.74314162754304,3.314749608763693
