GDP_Category,Country,GDP_per_Capita,Happiness_Score,Average_Happiness,Happiness_Rank
Low GDP,Canada,0.6,7.34,5.22,1
Low GDP,Switzerland,0.67,4.46,5.22,2
Low GDP,New Zealand,0.61,3.87,5.22,3
Medium GDP,Netherlands,0.87,6.41,5.0,1
Medium GDP,Japan,0.92,6.29,5.0,2
Medium GDP,China,1.18,6.03,5.0,3
Medium GDP,South Korea,1.11,5.84,5.0,4
Medium GDP,Iceland,0.87,4.68,5.0,5
Medium GDP,Sweden,1.16,3.63,5.0,6
Medium GDP,Germany,1.09,3.61,5.0,7
Medium GDP,South Africa,1.14,3.53,5.0,8
High GDP,Brazil,1.45,6.98,5.3,1
High GDP,Finland,1.55,6.67,5.3,2
High GDP,Norway,1.39,6.25,5.3,3
High GDP,United Kingdom,1.3,5.67,5.3,4
High GDP,Australia,1.43,5.31,5.3,5
High GDP,India,1.41,4.45,5.3,6
High GDP,United States,1.39,4.44,5.3,7
High GDP,France,1.57,4.36,5.3,8
High GDP,Denmark,1.27,3.61,5.3,9
