method,k,silhouette,adjusted_rand_index,normalized_mutual_info
KMeans,5,0.1827239603881878,0.12183316941818294,0.19234741142583608
KMeans,2,0.18184025762533484,0.3432289902517337,0.43479507940600154
KMeans,6,0.17933194088533685,0.1654134314529463,0.28100797773533626
KMeans,4,0.17240838212507953,0.1380808381881836,0.196177946888138
KMeans,3,0.1707724676182014,0.2524656319231547,0.3297074762645143
Agglomerative,4,0.14769849926934034,0.23688200687890557,0.26219777613851364
Agglomerative,6,0.14296421617587216,0.16523776904951587,0.2472541453397606
Agglomerative,3,0.13379060305170443,0.2350973126241878,0.2519106562117529
Agglomerative,5,0.1253849136788862,0.199969706738984,0.2581067751797204
Agglomerative,2,0.11612808721732759,0.21104120113753005,0.2580333497781567
